Year,Skater_Lastname,SP_Total,SP_TES,SP_PCS,FS_Total,FS_TES,FS_PCS,
2023,Mihara,73.46,39.08,34.38,132.24,63.75,68.49,
2023,Kim,64.06,34.61,29.45,139.45,76.78,62.67,
2023,Schott,67.29,36.76,30.53,130.47,65.87,65.6,
2023,Repond,62.75,34.49,28.26,131.34,69.26,62.08,
2023,Petrokina,68,36.7,31.3,125.49,61.52,63.97,
2023,Watanabe,60.9,30.17,31.73,131.91,68.76,64.15,
2024,Sakamoto,73.29,37.71,35.58,149.67,75.08,74.59,
2024,Levito,73.73,38.86,34.87,138.43,68.04,70.39,
2024,Kim,66.91,34.94,31.97,136.68,72.81,63.87,
2024,Repond,62.64,33.29,30.35,133.38,70.15,63.23,
2024,Chiba,62.64,31,31.64,132.82,69.38,63.44,
2024,Yoshida,64.56,33.35,31.21,130.37,68.17,63.2,
2024,Gubanova,58.66,27.79,30.87,123.76,62.83,60.93,
2024,Hendrickx,76.98,41.2,35.78,123.27,54.87,69.4,
2024,Kaiser,64.05,36.07,27.98,123.19,65.23,57.96,
2024,Kurakova,62.34,32.56,29.78,122.42,63.12,59.3,
